,TransactionID,id_01,id_02,id_05,id_06,id_11,id_12,id_13,id_15,id_16,id_17,id_19,id_20,id_28,id_29,id_31,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo,isFraud_x,isFraud_y,isFraud
18131,3062732,-5.0,55939.0,0.0,0.0,100.0,1,34,0,0,55,375,94,0,0,45,1,0,1,0,0,1431,0,0,0
38282,3116315,-5.0,110346.0,0.0,0.0,100.0,1,32,1,1,55,101,185,1,1,96,1,0,1,0,1,1541,0,0,0
15497,3054605,-5.0,86044.0,0.0,0.0,100.0,1,34,1,1,55,196,94,1,1,78,1,0,1,1,0,1431,0,0,0
44036,3162130,-5.0,107275.0,0.0,0.0,100.0,1,34,1,1,94,167,192,1,1,45,0,0,1,0,0,1431,0,0,0
75085,3412660,-5.0,31401.0,0.0,0.0,100.0,0,34,0,0,55,273,158,0,0,51,1,0,1,1,0,1431,0,0,0
86879,3511809,-10.0,282173.0,0.0,0.0,100.0,1,34,0,0,94,288,141,0,0,54,0,0,1,0,0,1431,0,0,0
68786,3365344,-5.0,785094.0,0.0,0.0,100.0,1,18,1,1,94,68,259,1,1,49,0,0,1,0,1,395,0,0,0
11390,3040946,-5.0,98213.0,0.0,0.0,100.0,1,32,0,0,55,392,316,0,0,42,1,0,1,0,0,661,0,0,0
18208,3062946,-5.0,44985.0,0.0,0.0,100.0,1,34,1,1,55,486,28,1,1,45,0,0,1,1,0,1431,0,0,0
77284,3432161,-5.0,248571.0,0.0,0.0,100.0,1,34,0,0,94,149,315,0,0,51,0,0,1,0,0,1431,0,0,0
69792,3373924,-20.0,127798.0,0.0,0.0,100.0,1,34,0,0,94,145,17,0,0,80,0,0,1,0,0,1583,0,0,0
21555,3071412,-5.0,72466.0,1.0,0.0,100.0,1,34,0,0,55,100,271,0,0,45,1,0,1,1,0,1431,0,0,0
80361,3456639,-5.0,159548.0,0.0,0.0,100.0,1,34,1,1,94,48,289,1,1,51,0,0,1,0,0,1431,0,0,0
79983,3453390,-5.0,112271.0,-7.0,-7.0,100.0,1,34,0,0,94,338,141,0,0,51,0,0,1,0,0,1431,0,0,0
10098,3036477,-5.0,145390.0,0.0,0.0,100.0,1,34,0,0,55,273,30,0,0,69,1,0,1,1,0,1431,0,0,0
14743,3052263,-5.0,424894.0,0.0,0.0,100.0,1,32,1,1,55,375,45,1,1,111,1,0,0,0,0,661,0,0,0
40346,3129423,-5.0,53687.0,0.0,0.0,100.0,1,34,0,0,0,204,133,0,0,45,0,0,1,1,0,1431,0,0,0
56388,3260642,-5.0,234248.0,0.0,0.0,100.0,1,34,1,1,55,210,188,1,1,48,1,0,1,0,0,1431,0,0,0
13955,3049706,-25.0,127198.0,2.0,-26.0,100.0,1,32,1,1,55,193,68,1,1,93,1,0,0,0,1,1541,0,0,0
