,TransactionID,id_01,id_02,id_05,id_06,id_11,id_12,id_13,id_15,id_16,id_17,id_19,id_20,id_28,id_29,id_31,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo,isFraud
55544,3256028,-5.0,288020.0,0.0,0.0,100.0,1,34,1,1,94,145,141,1,1,48,0,0,1,0,0,1431,0
97020,3572927,-5.0,1315.0,0.0,0.0,100.0,1,34,0,0,55,386,309,0,0,70,1,0,1,1,0,1431,0
84595,3492797,-5.0,290487.0,2.0,-5.0,95.08000183105469,1,34,1,1,94,68,305,0,0,80,0,0,1,0,0,1431,0
26609,3083982,-5.0,277642.0,0.0,0.0,100.0,1,34,0,0,94,167,192,0,0,45,0,0,1,1,0,1431,0
24242,3078243,-10.0,53657.0,0.0,-10.0,100.0,1,43,1,1,55,273,247,1,1,89,1,0,0,1,0,1397,0
10131,3036586,-5.0,13611.0,0.0,0.0,100.0,1,34,0,0,55,183,193,0,0,42,1,0,1,1,0,1431,0
26836,3084620,-5.0,101585.0,0.0,0.0,100.0,1,32,0,1,55,392,316,0,1,45,1,0,1,0,0,661,0
63733,3324110,-5.0,233910.0,0.0,0.0,100.0,1,34,1,1,94,145,291,1,1,48,0,0,1,0,0,1431,0
67671,3357550,-20.0,228015.0,0.0,0.0,100.0,1,34,1,1,94,145,126,1,1,48,0,0,1,0,0,1431,0
85326,3499342,-40.0,29086.0,6.0,-7.0,100.0,1,5,1,1,55,386,73,1,1,96,1,0,1,1,1,1541,0
64352,3330244,-5.0,655523.0,1.0,0.0,100.0,1,18,1,1,94,68,259,1,1,21,0,0,1,0,1,421,0
83703,3484549,-5.0,95307.0,19.0,-35.0,100.0,0,44,0,0,55,20,73,0,0,96,1,0,0,0,1,1541,0
42332,3145651,-5.0,122579.0,0.0,0.0,100.0,1,34,1,1,94,145,305,1,1,45,0,0,1,1,0,1431,0
22989,3075210,-5.0,112600.0,0.0,0.0,100.0,1,32,1,1,55,39,146,1,1,111,1,0,0,0,0,661,0
95574,3561255,-5.0,518463.0,0.0,0.0,100.0,1,13,1,1,94,48,289,1,1,55,0,0,1,0,1,1393,0
74059,3403180,-10.0,518981.0,2.0,-23.0,100.0,1,44,1,1,94,279,317,1,1,52,0,0,1,0,1,1157,0
73368,3397990,-5.0,115242.0,0.0,0.0,100.0,1,34,1,1,94,145,17,1,1,51,0,0,1,0,0,1431,0
37645,3113104,-5.0,238744.0,10.0,-33.0,100.0,1,32,1,1,55,197,73,1,1,92,1,0,0,1,1,1541,0
